web-scraper-order,web-scraper-start-url,link,link-href,prix,div,equip
"1679592200-1143","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon6780,000 DHAppartement 84m² en Vente à Tilila AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/Appartement_84m%C2%B2_en_Vente_%C3%A0_Tilila_Agadir_50848906.htm","780 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""84""}]","[{""equip"":""Balcon""},{""equip"":""Ascenseur""}]"
"1679592203-1144","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8940,000 DHAppartement en Vente à Agadir hay mohammadi islaneAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Agadir_hay_mohammadi_islane_52504286.htm","940 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Étage""},{""div"":""8""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""99""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Climatisation""},{""equip"":""Chauffage""},{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Ascenseur""},{""equip"":""Concierge""}]"
"1679592205-1145","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon6650,000 DHشقة رائعة للبيع موقع جميل فوق الشارع حي السلامAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/%D8%B4%D9%82%D8%A9_%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D9%85%D9%88%D9%82%D8%B9_%D8%AC%D9%85%D9%8A%D9%84_%D9%81%D9%88%D9%82_%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D8%B9_%D8%AD%D9%8A_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85_52504851.htm","650 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""69""}]","[]"
"1679592207-1146","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon6380,000 DHAppartement 60m² en Vente à Dcheira El Jihadia AppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Autre secteur","https://www.avito.ma/fr/autre_secteur/appartements/Appartement_60m%C2%B2_en_Vente_%C3%A0_Dcheira_El_Jihadia__51748290.htm","380 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Autre secteur""},{""div"":""Surface habitable""},{""div"":""60""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Ascenseur""},{""equip"":""Concierge""},{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679592209-1147","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon61,450,000 DHAppartement  en Vente à Imi Ouadar AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Autre secteur","https://www.avito.ma/fr/autre_secteur/appartements/Appartement__en_Vente_%C3%A0_Imi_Ouadar_Agadir_52269044.htm","1 450 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Autre secteur""},{""div"":""Surface habitable""},{""div"":""66""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679592212-1148","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon81,250,000 DHAppartement en Vente à El Houda AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appartement_en_Vente_%C3%A0_El_Houda_Agadir_51957110.htm","1 250 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Étage""},{""div"":""5""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""98""}]","[{""equip"":""Balcon""},{""equip"":""Concierge""},{""equip"":""Ascenseur""},{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679592214-1149","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8850,000 DHAppartement en Vente à AL WIFAQ AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Al Wifaq","https://www.avito.ma/fr/al_wifaq/appartements/Appartement_en_Vente_%C3%A0_AL_WIFAQ_Agadir_52009461.htm","850 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Al Wifaq""},{""div"":""Surface habitable""},{""div"":""98""},{""div"":""Salons""},{""div"":""2""},{""div"":""Étage""},{""div"":""4""}]","[{""equip"":""Balcon""},{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Ascenseur""}]"
"1679592216-1150","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon11,160,000 DHAppartement 116m² en Vente à Tilila AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/Appartement_116m%C2%B2_en_Vente_%C3%A0_Tilila_Agadir_52015088.htm","1 160 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""116""}]","[{""equip"":""Balcon""}]"
"1679592219-1151","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8950,000 DHAppartement en Vente à Hay Mohammadi AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Hay_Mohammadi_Agadir_51216722.htm","950 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Surface habitable""},{""div"":""95""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Cuisine équipée""}]"
"1679592221-1152","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon81,490,000 DHAppartement 114m² en Vente à Founti AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Founti","https://www.avito.ma/fr/founti/appartements/Appartement_114m%C2%B2_en_Vente_%C3%A0_Founti_Agadir_51775893.htm","1 490 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Founti""},{""div"":""Surface habitable""},{""div"":""114""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592223-1153","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon1450,000 DHAppartements en Vente à Tikiouine AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Autre secteur","https://www.avito.ma/fr/autre_secteur/appartements/Appartements_en_Vente_%C3%A0_Tikiouine_Agadir_52211095.htm","450 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Autre secteur""},{""div"":""Surface habitable""},{""div"":""80""},{""div"":""Étage""},{""div"":""1""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592227-1154","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon1620,000 DHAppartement 89m² en Vente à AgadirAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Av Mokawama","https://www.avito.ma/fr/av_mokawama/appartements/Appartement_89m%C2%B2_en_Vente_%C3%A0_Agadir_52507422.htm","620 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Av Mokawama""},{""div"":""Surface habitable""},{""div"":""89""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""3""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592229-1155","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon4250,000 DHشقة للبيع أنزا العليا AppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Taddart Anza","https://www.avito.ma/fr/taddart_anza/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%A3%D9%86%D8%B2%D8%A7_%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7__52507440.htm","250 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Taddart Anza""},{""div"":""Étage""},{""div"":""Rez de chaussée""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679592231-1156","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=06&price_min=0","Camera Icon8450,000 DHappartement à vendreAppartementsTimeFill Iconil y a 1 semaineMapPinFill IconAgadir, Cité Adrar","https://www.avito.ma/fr/cite_adrar/appartements/appartement_%C3%A0_vendre_52403952.htm","450 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Cité Adrar""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Étage""},{""div"":""2""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""100""}]","[]"
